14
20 79
1 2 95
2 3 811
3 4 201
4 5 867
5 6 316
6 7 711
7 8 297
8 9 603
9 10 477
10 11 681
11 12 932
12 13 435
13 14 770
14 15 143
15 16 472
16 17 577
17 18 61
18 19 124
19 20 721
1 1 60
18 3 6
11 1 39
13 12 36
2 17 62
9 4 76
18 12 44
13 19 73
14 18 61
18 11 52
12 5 55
9 3 47
16 15 14
12 14 90
10 5 62
6 13 52
4 10 62
19 20 1
18 16 76
7 11 31
4 2 66
4 17 37
19 11 27
16 19 9
11 8 57
6 2 37
4 6 32
16 17 55
10 10 66
8 4 55
6 6 86
5 4 89
20 9 65
7 19 20
19 17 83
6 1 77
2 11 30
15 7 56
6 14 81
8 17 61
5 5 80
1 14 36
13 7 42
5 11 17
12 16 86
14 14 94
1 19 92
3 13 72
4 7 80
7 3 49
15 18 7
2 14 70
15 15 14
20 6 77
3 14 31
20 15 78
14 10 2
16 6 6
18 8 17
13 10 86
43 504
1 2 24
2 3 852
3 4 541
4 5 227
5 6 656
6 7 217
7 8 817
8 9 545
9 10 477
10 11 377
11 12 480
12 13 859
13 14 468
14 15 755
15 16 644
16 17 962
17 18 325
18 19 247
19 20 40
20 21 198
21 22 911
22 23 291
23 24 435
24 25 99
25 26 42
26 27 980
27 28 852
28 29 306
29 30 893
30 31 941
31 32 175
32 33 225
33 34 753
34 35 12
35 36 166
36 37 86
37 38 414
38 39 483
39 40 652
40 41 920
41 42 836
42 43 804
9 33 49
36 14 93
15 20 33
25 28 61
40 8 18
4 12 65
3 37 25
26 8 15
29 42 96
9 43 32
7 8 43
36 11 52
25 42 42
14 41 93
2 6 51
39 39 41
28 32 81
7 22 91
4 11 12
18 10 50
8 19 75
14 34 60
6 43 36
33 34 42
6 41 32
20 24 56
36 18 3
16 26 62
1 14 17
32 4 9
9 30 88
39 20 8
7 17 93
8 8 86
16 10 66
10 27 44
7 30 91
11 32 50
17 39 1
22 1 17
38 4 2
13 20 56
23 14 26
39 43 59
32 10 82
42 36 44
22 30 75
32 31 54
1 2 50
13 38 91
11 22 16
33 12 76
25 36 77
15 18 46
39 30 29
37 32 89
43 13 66
14 7 50
4 39 74
1 6 93
19 31 33
10 43 61
11 21 45
9 36 99
41 13 96
34 30 17
6 19 97
12 3 45
12 29 42
40 23 87
37 30 5
11 17 95
18 13 41
14 30 57
41 29 29
10 20 61
11 18 6
24 34 43
11 27 24
37 2 91
4 23 76
36 41 9
20 37 37
1 42 13
40 43 76
10 40 16
40 16 98
27 42 17
36 13 43
14 28 22
29 20 11
42 22 88
10 8 36
4 26 61
15 43 56
5 23 72
13 9 98
36 22 65
16 20 1
29 18 98
40 7 0
9 4 57
8 21 5
18 33 39
7 36 89
30 10 81
12 10 51
4 33 3
43 4 36
35 11 3
1 12 16
28 16 39
3 34 77
6 15 89
38 3 48
33 19 67
1 4 45
37 12 62
16 11 18
39 1 62
6 5 49
42 31 16
12 30 54
26 29 67
7 12 17
18 24 29
7 28 97
38 17 77
18 14 46
12 38 52
39 9 96
28 21 23
3 7 26
6 31 75
37 28 89
21 16 98
2 8 23
41 26 79
29 7 33
17 24 88
6 13 48
17 10 28
40 14 57
38 36 80
28 27 92
31 35 41
1 26 71
43 43 78
39 8 36
5 9 8
5 11 84
21 5 95
6 36 55
17 19 22
41 28 17
42 9 78
28 26 37
